zip_code;name
"1001";"L'Abergement-Clémenciat"
"1004";"Ambérieu-en-Bugey"
"1006";"Ambléon"
"1008";"Ambutrix"
"1022";"Artemare"
"1076";"Chaley"
"1078";"Challex"
"1118";"Corbonod"
"1146";"Dompierre-sur-Chalaronne"
"1193";"Izieu"
"1262";"Montluel"
"1268";"Murs-et-Gélignieux"
"1323";"Reyssouze"
"1330";"Ruffieu"
"1390";"Saint-Vulbas"
"1401";"Sergy"
"1407";"Seyssel"
"1431";"Vaux-en-Bugey"
"2044";"Bancigny"
"2058";"Beaurieux"
"2077";"Berzy-le-Sec"
"2093";"Blérancourt"
"2116";"Braye-en-Thiérache"
"2120";"Brenelle"
"2123";"Brissay-Choigny"
"2129";"Bruys"
"2160";"Chaourse"
"2167";"Chassemy"
"2175";"Chavigny"
"2180";"Chéry-lès-Pouilly"
"2214";"Contescourt"
"2251";"Cuiry-lès-Iviers"
"2252";"Cuissy-et-Geny"
"2277";"Épagny"
"2319";"Fonsomme"
"2327";"Foreste"
"2373";"Hary"
"2377";"Haution"
"2383";"Homblières"
"2422";"Lesquielles-Saint-Germain"
"2462";"Mareuil-en-Dôle"
"2465";"Marigny-en-Orxois"
"2478";"Merlieux-et-Fouquerolles"
"2488";"Molain"
"2558";"Le Nouvion-en-Thiérache"
"2586";"Parfondeval"
"2637";"Remaucourt"
"2675";"Sainte-Croix"
"2744";"Torcy-en-Valois"
"2745";"Toulis-et-Attencourt"
"2755";"Urcel"
"2824";"Vorges"
"2826";"Voulpaix"
"3013";"Avermes"
"3037";"Braize"
"3124";"Gouise"
"3235";"Saint-Gérand-le-Puy"
"3314";"Villebret"
"4034";"La Brillanne"
"4041";"Le Castellet"
"4069";"Demandolx"
"4087";"Fontienne"
"4088";"Forcalquier"
"4101";"Lardiers"
"4151";"Pierrerue"
"4158";"Quinson"
"4192";"Saint-Michel-l'Observatoire"
"5060";"Furmeyer"
"5111";"Puy-Sanières"
"5117";"Ribeyret"
"5181";"Villar-d'Arêne"
"6036";"Castillon"
"6049";"Courmes"
"6087";"Les Mujouls"
"6088";"Nice"
"6159";"Villefranche-sur-Mer"
"7012";"Arcens"
"7015";"Arras-sur-Rhône"
"7030";"Beauvène"
"7040";"Boucieu-le-Roi"
"7054";"Chanéac"
"7056";"Charnas"
"7078";"Davézieux"
"7104";"Issamoulenc"
